Name	Latest Value
 + 	
| - Connection Queue Length	0
| - Connection Rate	0
| - Current Connections	1
| - Current TLS Handshakes	0
| - Current Upgraded Requests (WebSockets)	0
| - Failed TLS Handshakes	1
| - Request Queue Length	0
| - TLS Handshake Rate	0
| - Total Connections	4
| - Total TLS Handshakes	4
 + 	
| - Current Requests	0
| - Failed Requests	0
| - Request Rate	0
| - Total Requests	22
 + 	
| - Average Connection Duration	0
| - Current Connections	0
| - Total Connections Started	1
| - Total Connections Stopped	1
| - Total Connections Timed Out	0
 + 	
| - Current Http 1.1 Connections	1
| - Current Requests	0
| - HTTP 1.1 Requests Queue Duration	0
| - HTTP 2.0 Requests Queue Duration	0
| - HTTP 3.0 Requests Queue Duration	0
| - Requests Failed	0
| - Requests Failed Rate	0
| - Requests Started	4
| - Requests Started Rate	0
 + 	
| - Average DNS Lookup Duration	0
| - Current DNS Lookups	0
| - DNS Lookups Requested	2
 + 	
| - All TLS Sessions Active	1
| - Current TLS handshakes	0
| - TLS 1.0 Handshake Duration	0
| - TLS 1.0 Sessions Active	0
| - TLS 1.1 Handshake Duration	0
| - TLS 1.1 Sessions Active	0
| - TLS 1.2 Handshake Duration	0
| - TLS 1.2 Sessions Active	1
| - TLS 1.3 Handshake Duration	0
| - TLS 1.3 Sessions Active	0
| - TLS Handshake Duration	0
| - TLS handshakes completed	0
| - Total TLS handshakes completed	4
| - Total TLS handshakes failed	1
 + 	
| - Bytes Received	166,78 K
| - Bytes Sent	338,04 K
| - Current Outgoing Connect Attempts	0
| - Datagrams Received	0
| - Datagrams Sent	0
| - Incoming Connections Established	4
| - Outgoing Connections Established	2
 + 	
| - % Time in GC since last GC	0%
| - Allocation Rate	16,02 KiB
| - CPU Usage	0,13%
| - Exception Count	0
| - GC Committed Bytes	10,84 MiB
| - GC Fragmentation	35%
| - GC Heap Size	5,24 MiB
| - Gen 0 GC Count	0
| - Gen 0 Size	2,53 MiB
| - Gen 1 GC Count	0
| - Gen 1 Size	3,33 MiB
| - Gen 2 GC Count	0
| - Gen 2 Size	1,09 MiB
| - IL Bytes Jitted	705,17 KiB
| - LOH Size	224,13 KiB
| - Monitor Lock Contention Count	0
| - Number of Active Timers	3
| - Number of Assemblies Loaded	159
| - Number of Methods Jitted	8,64 K
| - POH (Pinned Object Heap) Size	148,82 KiB
| - ThreadPool Completed Work Item Count	2
| - ThreadPool Queue Length	0
| - ThreadPool Thread Count	7
| - Time spent in JIT	2,62
| - Working Set	113,66 MiB
